,roll,pitch,yaw,count
"myo1,1kg_1",155.0,171.0,98.0,117.0
"myo1,1kg_2",154.0,168.0,88.0,108.0
"myo1,1kg_3",153.0,168.0,82.0,89.0
"myo1,2kg_1",154.0,169.0,143.0,79.0
"myo1,2kg_2",155.0,165.0,133.0,106.0
"myo1,2kg_3",152.0,172.0,124.0,88.0
"myo1,3kg_1",158.0,171.0,287.0,114.0
"myo1,3kg_2",156.0,170.0,266.0,126.0
"myo1,3kg_3",156.0,167.0,254.0,102.0
"myo1,4kg_1",158.0,161.0,333.0,130.0
"myo1,4kg_2",157.0,161.0,330.0,111.0
"myo1,4kg_3",155.0,168.0,239.0,112.0
"myo1,5kg_1",153.0,161.0,53.0,86.0
"myo1,5kg_2",156.0,165.0,39.0,117.0
"myo1,5kg_3",156.0,161.0,24.0,122.0
"myo1,6kg_1",155.0,159.0,8.0,128.0
"myo1,6kg_2",155.0,163.0,6.0,133.0
"myo1,6kg_3",157.0,156.0,118.0,95.0
"myo1,7kg_1",159.0,159.0,203.0,144.0
"myo1,7kg_2",159.0,152.0,199.0,132.0
"myo1,7kg_3",161.0,157.0,193.0,124.0
"myo2,1kg_1",188.0,46.0,287.0,108.0
"myo2,1kg_2",181.0,38.0,292.0,113.0
"myo2,1kg_3",182.0,45.0,300.0,68.0
"myo2,2kg_1",187.0,47.0,266.0,110.0
"myo2,2kg_2",192.0,50.0,265.0,78.0
"myo2,2kg_3",187.0,50.0,278.0,115.0
"myo2,3kg_1",199.0,37.0,348.0,108.0
"myo2,3kg_2",188.0,36.0,308.0,130.0
"myo2,3kg_3",191.0,36.0,335.0,106.0
"myo2,4kg_1",188.0,30.0,334.0,87.0
"myo2,4kg_2",182.0,29.0,347.0,96.0
"myo2,4kg_3",192.0,42.0,7.0,120.0
"myo2,5kg_1",178.0,41.0,323.0,88.0
"myo2,5kg_2",186.0,41.0,320.0,71.0
"myo2,5kg_3",181.0,39.0,326.0,102.0
"myo2,6kg_1",177.0,34.0,337.0,114.0
"myo2,6kg_2",183.0,37.0,340.0,77.0
"myo2,6kg_3",178.0,29.0,343.0,74.0
"myo2,7kg_1",195.0,29.0,24.0,79.0
"myo2,7kg_2",193.0,27.0,37.0,81.0
"myo2,7kg_3",204.0,33.0,23.0,73.0
"myo3,1kg_1",205.0,47.0,205.0,97.0
"myo3,1kg_2",200.0,38.0,184.0,112.0
"myo3,1kg_3",200.0,46.0,160.0,83.0
"myo3,2kg_1",205.0,49.0,342.0,100.0
"myo3,2kg_2",210.0,54.0,308.0,96.0
"myo3,2kg_3",205.0,51.0,292.0,107.0
"myo3,3kg_1",218.0,41.0,307.0,113.0
"myo3,3kg_2",207.0,36.0,283.0,118.0
"myo3,3kg_3",211.0,37.0,250.0,115.0
"myo3,4kg_1",209.0,31.0,139.0,109.0
"myo3,4kg_2",203.0,27.0,121.0,93.0
"myo3,4kg_3",210.0,43.0,206.0,116.0
"myo3,5kg_1",197.0,39.0,88.0,104.0
"myo3,5kg_2",205.0,41.0,54.0,120.0
"myo3,5kg_3",201.0,38.0,25.0,111.0
"myo3,6kg_1",198.0,32.0,289.0,111.0
"myo3,6kg_2",202.0,32.0,264.0,122.0
"myo3,6kg_3",200.0,25.0,235.0,90.0
"myo3,7kg_1",220.0,28.0,83.0,122.0
"myo3,7kg_2",218.0,25.0,67.0,97.0
"myo3,7kg_3",224.0,33.0,28.0,101.0
