timestamp,x,y,z,
19480227417,-0.375,-2.9375,-0.25,
19480250438,-1.1875,-2.9375,-0.1875,
19480271668,-2.1875,-2.8125,-0.625,
19480286896,-1.6875,-3.5,-0.3125,
19480309259,-0.8125,-3.5,-0.4375,
19480333061,-1.6875,-3.5625,-0.875,
19480348453,-1.75,-2.8125,-0.875,
19480369395,-2.0625,-2.625,-1.375,
19480407854,-2.125,-2.5625,-0.9375,
19480416456,-1.75,-2.75,-0.5,
19480481730,-2,-2.625,-0.25,
19480526808,-1.375,-2.9375,-0.75,
19480556672,-1,-2.8125,-1,
19480609075,-0.4375,-3.4375,-1,
19480646494,-0.75,-3.125,-0.125,
19480669174,-0.125,-4.5,-0.875,
19480714287,-0.875,-3.625,-1.375,
19480744033,-1.625,-3.75,-1,
19480752929,-2,-2.8125,-0.8125,
19480759183,-2.375,-2.6875,-0.5,
19480788989,-3.1875,-2.3125,-0.625,
19480826481,0.0625,-2.9375,-0.9375,
19480849019,-0.4375,-2.5,-1,
19480886612,-2.3125,-1.1875,-1.375,
19480908961,-1.0625,-1.625,-1.3125,
19480961500,-1.3125,-0.75,-1.625,
19480976433,-1.1875,-0.5625,-1.25,
19480999117,-0.5625,-0.125,-1.625,
19481029016,0.0625,-1.4375,-2.4375,
19481051592,0.125,-1.1875,-1.75,
19481066462,-1,-0.8125,-2.625,
19481089145,-0.5625,-1.375,-2.125,
19481111362,0.625,-0.9375,-2.0625,
19481126585,-0.25,-1.1875,-1.875,
19481149101,-1.8125,-1.5625,-1.8125,
19481179043,0.25,-2.1875,-2.125,
19481194043,1.125,-2.375,-1.8125,
19481231586,-0.375,-2.875,-1.6875,
19481254016,0,-2.5,-1.8125,
19481276493,-1.0625,-2.8125,-1.25,
19481291510,0,-4.1875,-1.0625,
19481306604,0.1875,-3.75,-0.5625,
19481328942,0.125,-4.3125,-0.875,
19481351462,-1.625,-3.5625,-0.625,
19481366697,-2.625,-3.5625,-0.75,
19481389097,-0.9375,-4.125,-1,
19481418883,-2.3125,-3.25,-1.1875,
19481434204,-5.75,-3.0625,-1.0625,
19481456475,-5.375,-4.125,-1.625,
19481471466,-0.5625,-4.4375,-1.875,
19481486464,0,-4.125,-1.625,
19481508882,-2.4375,-5.3125,-2.0625,
19481531590,-2.0625,-5.9375,-1.875,
19481546412,0.625,-6.6875,-2.3125,
19481569110,0.4375,-6.5,-1.9375,
19481591639,-1.625,-7.0625,-2.25,
19481606482,0.1875,-7,-2.4375,
19481628942,1.4375,-7.0625,-2.3125,
19481651586,0.625,-7.4375,-1.875,
19481696499,1.6875,-7.375,-0.875,
19481726487,1.875,-7.3125,-0.25,
19481764187,2.375,-6.6875,-0.5625,
19481801694,2.9375,-5.75,0,
19481831644,3.9375,-5.375,-0.4375,
19481854147,3.8125,-5.125,-0.25,
19481869169,2.6875,-4.875,-0.25,
19481891533,3,-3.875,-0.5625,
19481913942,2.0625,-4.25,-0.75,
19481929114,1.5,-3.125,-1.3125,
19481951588,1.0625,-3.0625,-0.9375,
19481974222,0.8125,-2.375,-1,
19481996448,0.3125,-2.0625,-0.875,
19482018920,0,-1.625,-0.1875,
19482041651,0.8125,-1.75,-0.75,
19482078891,-1.6875,-1.375,-0.8125,
19482101715,-0.9375,-1.1875,-1.1875,
19482131449,-1.375,-2,-1.75,
19482154022,-1.5,-2.5,-1.375,
19482168958,-1.625,-3.0625,-2.5625,
19482191405,-0.6875,-4.75,-3.0625,
19482213931,0.4375,-6.875,-4,
19482229063,0.6875,-5.625,-3.5625,
19482266451,0.4375,-5.5625,-3.25,
19482288907,-0.1875,-5.5625,-3.25,
19482311551,-1.9375,-4.625,-2.875,
19482356711,-0.4375,-4.1875,-2.625,
19482378960,-2,-3.75,-2.9375,
19482408845,-3.5,-2.8125,-2.0625,
19482438927,-1.8125,-3,-0.9375,
19482468924,-2.1875,-2.5,-1.25,
19482483840,-2.25,-2.4375,-1.25,
19482498925,-2.1875,-2.5625,-1.4375,
19482543945,-2.4375,-2.75,-1.75,
19482574074,-2.4375,-3.625,-2.125,
19482603882,-2,-2.625,-2.0625,
19482634042,-1.8125,-1.75,-2.6875,
19482656506,-3,-1.25,-2.625,
19482671450,-2.3125,-2.25,-2.5625,
19482693913,-0.6875,-3.125,-3,
19482723812,-1.1875,-3.4375,-2.75,
19482738942,-1.5625,-2.8125,-3.125,
19482784059,0.25,-2.375,-2.375,
19482814061,-2.3125,-2.5625,-2,
19482836548,-3.0625,-3,-1.875,
19482851442,-2.125,-2.75,-2.375,
19482881583,-1.75,-3.8125,-2.25,
19482903842,-2.125,-3.3125,-1.625,
19482941364,-1.5,-4.9375,-2.0625,
19482963935,-0.625,-5.5625,-2.875,
19483001551,-3.5625,-4.8125,-2.75,
19483031640,-2.625,-4.5625,-2.5625,
19483076525,-2.125,-4.3125,-1.9375,
19483091579,-1.75,-3.75,-2.5,
19483114113,-2.75,-3.875,-2.375,
19483136490,-2.75,-4.0625,-2.125,
19483151626,-2.5625,-3.875,-2.125,
19483166429,-2.1875,-3.875,-2,
19483196567,-1.5,-4.75,-1.75,
19483211393,-1.5625,-5.0625,-1.8125,
