timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
142688544512,-23,-39,-88,-110,-85,-17,-12,-12,
142688544512,6,24,-27,-104,1,-9,-11,-7,
142688553617,12,12,81,88,72,38,26,21,
142688553617,-14,-39,-58,-41,-4,-7,-4,-6,
142688559688,3,-21,-50,30,24,8,5,1,
142688559688,14,62,82,83,15,-11,0,3,
142688591531,-13,-26,-37,-35,-32,-10,-15,-12,
142688591531,-25,-4,-51,-54,-55,5,12,-8,
142688612003,79,73,110,127,72,22,28,48,
142688612003,-68,-109,-122,-128,-74,-36,-43,-46,
142688657148,15,-9,-67,-61,-92,-40,-3,7,
142688657148,8,39,78,105,103,44,-1,-5,
142688665952,-8,-22,-38,-128,-32,-33,-11,-7,
142688665952,-1,19,21,127,-34,-3,6,-1,
142688717294,-34,39,68,76,83,-7,-13,-22,
142688717294,26,-25,-103,-71,16,15,22,20,
142688724498,3,-13,-40,-18,-32,2,16,12,
142688724498,39,48,107,83,114,38,24,22,
142688747115,-25,-19,5,-11,-33,2,-15,-18,
142688747115,-32,-35,-53,-66,-4,-9,-13,-14,
142688754585,19,3,5,-56,-34,23,19,14,
142688754585,-18,7,24,99,9,-37,-20,-11,
142688777073,19,-13,-85,-108,-84,-18,6,15,
142688777073,13,14,-26,32,-65,-29,-17,-6,
142688792056,16,8,-11,-74,-69,-8,8,9,
142688792056,-11,55,94,66,104,47,5,-7,
142688837134,-28,-58,-128,-121,-94,-19,-14,-17,
142688837134,48,48,69,23,-24,11,31,35,
142688869126,-58,-61,-71,-86,-19,-20,-35,-38,
142688869126,22,1,-60,-56,8,-20,3,17,
142688874533,7,-8,-69,-78,-85,-40,-12,-1,
142688874533,22,19,57,-16,-18,-13,0,7,
142688904580,-16,-29,-2,3,15,2,-7,-8,
142688904580,-8,-13,-81,-69,10,-9,-13,-7,
142688927363,36,63,125,127,68,22,22,20,
142688927363,-31,-14,34,-1,18,13,-5,-14,
142688957115,44,-21,-94,-9,-46,-25,30,30,
142688957115,-10,42,90,127,84,25,-5,-9,
142688979732,14,4,22,-50,-4,26,5,3,
142688979732,-3,-35,-87,-74,7,-14,7,3,
142688994508,5,57,114,73,64,24,2,5,
142688994508,-17,-28,-43,-24,-5,-7,-10,-11,
142689039722,-32,-48,-100,-128,-128,-36,-31,-30,
142689039722,50,28,33,58,94,42,36,40,
142689054739,13,0,-34,100,77,2,2,7,
142689054739,-2,-24,-57,-85,-128,-33,-9,-6,
142689069493,8,4,36,116,72,33,10,7,
142689069493,9,-8,-35,-62,8,-2,-6,2,
142689084729,6,-14,-51,-76,33,4,6,2,
142689084729,2,85,113,99,1,37,24,10,
142689091997,-10,-30,-55,-8,13,9,-6,-4,
142689091997,-6,-18,-91,-126,-128,-48,-17,-14,
142689122319,18,16,-36,-50,-79,-4,14,14,
142689122319,-24,-5,45,26,20,2,-8,-10,
142689144586,-14,-53,-98,-112,-15,-13,-9,-1,
142689144586,-19,0,-39,-100,-94,-35,-10,-14,
142689152072,-53,-50,4,-60,-45,-35,-31,-30,
142689152072,11,-3,-62,-75,-34,-14,-7,1,
142689196980,15,21,61,127,75,31,12,10,
142689196980,-13,-11,-71,-128,-85,-4,-12,-12,
142689212064,13,8,33,127,67,-28,2,6,
142689212064,6,17,43,-42,-23,18,5,2,
142689227128,3,-5,-36,-75,-62,3,-7,-3,
142689227128,-6,-5,-10,25,-28,8,6,1,
142689234648,13,21,14,53,54,-13,-17,-4,
142689234648,4,-24,-73,-97,-127,-38,3,5,
142689257009,-22,-28,-126,-128,-82,-35,-25,-25,
142689257009,45,23,42,61,40,31,28,29,
142689272040,26,8,39,89,87,45,30,23,
142689272040,-3,3,3,42,84,-22,-14,-6,
142689287013,4,9,54,29,26,15,11,1,
142689287013,-44,-16,38,80,12,-14,-22,-26,
142689309514,-18,-38,-97,-126,-72,-3,-11,-9,
142689309514,14,-25,-77,-42,-52,-24,14,17,
142689339540,3,23,15,87,-25,-32,-6,-4,
142689339540,15,16,46,48,97,35,20,16,
142689362164,-22,-23,-32,-87,-60,-38,-25,-21,
142689362164,19,23,-41,-25,-12,22,21,18,
142689391997,44,33,51,89,105,18,21,33,
142689391997,-12,-5,-13,-72,-81,-8,-10,-13,
142689422139,-12,-15,-45,-17,11,-18,-19,-9,
142689422139,-1,-12,-71,-128,-112,-45,-9,-2,
142689429518,-46,-81,-81,-46,49,23,-8,-19,
142689429518,-4,-28,-95,-121,-96,-42,-20,-4,
142689437066,40,45,64,124,48,9,34,30,
142689437066,-10,-1,34,32,47,25,8,-3,
142689444595,-10,-41,-74,17,-8,-10,-4,-3,
142689444595,11,-2,-36,5,42,-29,-5,7,
142689459506,-16,46,99,-50,-86,23,-1,-13,
142689459506,-7,1,59,107,114,40,26,14,
142689474482,11,14,-14,-25,-22,-28,-18,-6,
142689474482,-38,-73,-128,-128,-116,-45,-34,-27,
142689504516,-4,-9,-50,-72,-33,-21,-23,-10,
142689504516,21,26,9,57,-62,7,7,7,
142689526970,-2,-8,-23,-74,-56,22,6,-4,
142689526970,-16,19,73,33,49,3,-15,-16,
142689594549,-33,-41,-72,-61,-78,-55,-23,-16,
142689594549,39,69,85,37,61,38,24,20,
142689617054,6,1,4,-31,-24,-4,-8,-1,
142689617054,-1,-21,-21,40,53,31,35,17,
142689624527,12,74,127,67,127,36,7,3,
142689624527,-1,-43,-55,-32,-82,-14,-2,2,
142689662245,-10,-32,-15,-37,-75,15,16,2,
142689662245,-13,11,54,81,105,3,-7,-11,
142689699799,-13,13,-5,-1,-58,-38,-24,-19,
142689699799,17,-3,55,11,36,30,19,20,
142689722173,-21,-37,-7,98,100,23,7,-4,
142689722173,-8,-16,-73,-112,-53,-28,-5,-3,
