timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
142706822023,-11,-29,-65,-46,-32,-56,-31,-14,
142706822023,64,95,100,99,80,46,40,40,
142706829497,-39,-52,-69,-107,-100,-36,-14,-15,
142706829497,-14,-9,-86,-92,-91,-27,-20,-18,
142706859251,40,48,85,81,99,46,22,21,
142706859251,-53,-63,-46,-29,23,-31,-33,-31,
142706866915,-68,-72,-64,-50,-64,-6,-32,-43,
142706866915,8,-5,-50,-80,-105,-3,7,4,
142706926843,-8,-26,-29,-26,-40,5,-1,-4,
142706926843,4,18,67,59,30,-14,-3,0,
142706979483,8,69,111,95,69,16,-9,-7,
142706979483,10,18,6,40,32,-13,5,6,
142707024304,11,6,77,52,-27,-28,1,9,
142707024304,-55,-32,3,-14,-46,-44,-44,-42,
142707033151,-19,-39,-57,-22,15,-7,0,-5,
142707033151,2,-11,-39,-95,-74,-32,-13,-1,
142707039363,30,19,44,76,117,39,5,4,
142707039363,-41,-37,-39,-67,-65,21,1,-17,
142707048909,-10,11,-14,-56,-6,-2,-13,-6,
142707048909,7,-19,-18,68,-20,-7,-7,1,
142707069207,36,7,-10,-20,14,12,14,20,
142707069207,-37,-43,-74,-113,-71,-52,-45,-35,
142707086057,-25,-34,-25,-13,57,-23,-13,-15,
142707086057,20,17,25,35,57,24,18,18,
142707116389,-7,-52,-127,-128,-128,-32,-15,-14,
142707116389,16,29,104,127,127,39,30,28,
142707122084,-42,-33,-54,-115,-28,7,-22,-27,
142707122084,18,11,-51,-33,2,-5,9,14,
142707151788,8,24,0,78,-6,21,14,8,
142707151788,-6,-7,23,31,20,-2,-2,0,
142707204955,-45,4,76,49,53,25,-9,-24,
142707204955,20,-21,-22,-47,-76,-4,14,14,
142707219453,54,56,111,69,-73,43,75,51,
142707219453,-51,-57,-52,-22,57,21,-9,-22,
142707256760,-30,-34,-60,-94,-94,-52,-45,-34,
142707256760,63,71,75,84,86,79,68,67,
142707279506,35,28,5,20,68,36,35,30,
142707279506,31,96,127,127,127,52,30,19,
142707295723,44,92,106,102,127,55,23,26,
142707295723,-38,-45,-82,-77,-52,-9,-18,-32,
142707309312,-8,-55,-122,-128,-99,-34,-9,0,
142707309312,5,-6,-43,-43,-56,-21,-15,-9,
142707317041,-2,78,127,127,120,52,23,7,
142707317041,-46,-84,-126,-128,-128,-44,-46,-37,
142707332020,-13,-90,-128,-128,-117,-19,-6,-3,
142707332020,-10,-35,-75,-84,-57,-10,-5,2,
142707339484,32,59,102,56,-8,12,13,13,
142707339484,-36,17,45,7,50,19,0,-25,
142707369705,32,3,57,73,40,-10,7,21,
142707369705,-55,-9,35,-59,5,2,-11,-29,
142707376734,38,5,-65,2,-34,-15,13,24,
142707376734,-12,-33,11,-43,-68,13,8,6,
142707406877,13,52,76,90,-4,2,12,10,
142707406877,1,44,27,5,59,11,-3,-5,
142707421740,9,-22,-65,-117,-89,-20,-3,0,
142707421740,-1,16,61,127,113,5,-1,4,
142707431315,-4,25,44,-50,13,19,3,-3,
142707431315,-1,-22,-4,7,-75,-18,-5,1,
142707451914,-26,-17,-94,-85,-12,-54,-31,-26,
142707451914,82,57,127,106,-17,32,56,60,
142707459340,-3,13,60,51,70,-11,-11,-11,
142707459340,3,-35,-98,-94,-34,-20,-10,0,
142707481725,0,-23,-69,3,-24,-16,-5,-4,
142707481725,-22,-5,-2,-57,-16,-4,-22,-20,
142707496808,23,28,4,-38,47,30,20,13,
142707496808,3,59,93,127,124,15,2,-1,
142707519235,44,57,11,34,30,12,22,27,
142707519235,-8,-46,-89,-87,-22,-31,-15,-5,
142707526751,49,33,56,58,-53,25,52,44,
142707526751,-72,10,56,6,57,15,-42,-55,
142707534480,-9,-60,-105,-97,-101,-52,-14,0,
142707534480,32,25,30,-73,-37,8,12,15,
142707541775,-28,-4,34,-20,-1,-9,-13,-19,
142707541775,-14,-32,-101,-95,-79,-22,-15,-11,
142707564521,15,15,2,-44,-42,-25,-14,5,
142707564521,27,1,26,78,37,76,55,30,
142707571759,-56,-44,-23,50,107,12,-27,-35,
142707571759,-1,2,-43,-4,-23,-6,-2,-4,
142707586979,13,30,68,60,40,-19,-2,9,
142707586979,-14,4,-27,-71,-41,-21,-17,-13,
142707594483,21,-11,-46,-78,-115,-31,8,13,
142707594483,-2,6,55,104,103,31,-1,-1,
142707616832,11,59,114,79,92,28,16,5,
142707616832,1,-17,-15,-39,-40,1,23,10,
142707624232,-24,-3,15,-32,-49,-12,-9,-12,
142707624232,31,-13,-73,-58,70,10,10,20,
142707639327,5,-19,-81,-80,-92,5,-1,1,
142707639327,12,44,19,-89,-13,-11,-17,-8,
142707654549,10,25,86,109,96,12,21,14,
142707654549,-53,-47,-11,-55,-30,-4,-4,-16,
142707669513,30,14,41,113,58,40,20,19,
142707669513,-27,-13,44,42,-37,-17,-9,-13,
142707691708,-16,-1,41,66,50,3,-7,-7,
142707691708,-5,-30,-69,-9,40,19,5,-1,
142707706855,41,29,-7,-42,2,-9,29,32,
142707706855,-47,-46,-17,59,-32,4,-29,-37,
142707714537,5,-16,-71,-128,-87,-41,-23,-6,
142707714537,19,85,127,127,127,74,39,17,
142707729464,6,-3,13,84,71,4,3,4,
142707729464,-18,-37,-85,-55,-96,-16,-6,-6,
142707736804,-9,12,65,57,48,27,-13,-16,
142707736804,-11,-21,-52,-103,-85,-10,-2,-6,
142707759569,21,35,53,110,41,17,19,15,
142707759569,-11,35,29,29,-14,-1,-17,-17,
142707812157,-9,-45,-97,-82,-89,-28,0,-1,
142707812157,33,11,108,68,-2,-16,11,27,
142707819380,-53,-3,30,-99,102,46,-17,-32,
