timestamp,x,y,z,
142944271330,-8.0625,0.125,0.4375,
142944280660,3.125,0.75,2.5,
142944303156,1,-1.5625,0.875,
142944317039,-4.1875,-3,-3.9375,
142944326558,0.0625,-0.375,-0.25,
142944428711,6.25,-0.6875,2,
142944526203,-1.6875,-2.75,-0.8125,
142944578757,-2.125,-3.625,-0.8125,
142944593857,-1.5625,-1.875,2.5625,
142944616190,-0.5,-0.6875,2.5,
142944683816,0.0625,-0.9375,3.25,
142944706241,-1.1875,-0.875,3.3125,
142944773648,0.6875,-2.875,1.875,
142944788723,1.75,-3.3125,0.5,
142944811358,-3.75,-2.3125,-1.1875,
142945148722,0.875,2.5,-0.875,
142945321324,5.0625,-2.125,-0.3125,
142945388815,5.0625,-0.8125,-0.8125,
142945433991,-5.1875,-0.5,-1.8125,
142945448652,-10.5,2.1875,-2.125,
142945538795,2.375,0.375,0.1875,
142945658787,3.6875,-0.0625,1.6875,
142945673740,-1.75,-1,-0.5,
142945734013,-0.3125,0.3125,2.375,
142945778978,-3.1875,-0.5625,-0.5625,
142945823768,-0.125,-0.75,-0.625,
142945958832,4.0625,-0.5,0.625,
142945966096,-3.4375,1.4375,-0.125,
142946011163,-4.5625,0.3125,-1,
142946072593,11.125,-5.375,-0.0625,
142946281412,10.5625,-1.1875,1.5,
142946311295,-2.6875,-0.8125,-1.5,
142946348815,-16.4375,1.5,-3.1875,
142946378889,-16.125,2.6875,-0.0625,
142946401122,-8.8125,1.25,0.25,
142946537978,-7.5625,1.9375,-0.25,
142946558709,-5.5625,-1.0625,0.0625,
142946612838,17.0625,-5.125,4.25,
142946657952,-3.9375,2.4375,3.1875,
142946768908,-19.4375,2.75,1.5,
142946813911,-3.9375,1.3125,1.1875,
142946836096,2.875,0.875,3.9375,
142946888741,-5.875,-0.625,1.125,
142946948782,-1.6875,-1.3125,-2,
142946956101,-0.0625,-1.875,-0.125,
142947001187,-7.375,0.4375,-1.25,
142947038574,-3.9375,-1.6875,0.625,
142947100024,2.6875,-1.6875,0.875,
