timestamp,x,y,z,
6644092240,4.3125,3.375,1.75,
6644124638,-0.5625,1.4375,1.625,
6644129922,-6.1875,-0.0625,1.25,
6644152575,-8,0.25,1.1875,
6644167602,-6.3125,0.4375,0.625,
6644190702,-3.3125,0.6875,-0.375,
6644221943,-3.0625,-0.5625,-0.875,
6644227412,-2.8125,-0.875,-1.25,
6644251255,-1.875,-0.5625,-1.875,
6644311635,-2.75,-0.5625,-2.0625,
6644317544,-4.3125,-1.625,-2.1875,
6644362433,-4.625,-2.0625,-2.6875,
6644384914,-5.8125,-2.9375,-2.3125,
6644399676,-6.625,-3.75,-1.8125,
6644429958,-6.9375,-4,-2.0625,
6644446301,-6.4375,-2.9375,-1.6875,
6644475010,-5.8125,-2.1875,-1.25,
6644504996,-2.3125,-1.3125,-0.1875,
6644534754,0.0625,-0.25,0.625,
6644564775,2.1875,0.75,0.8125,
6644619288,1.25,0.625,1.3125,
6644647740,0.3125,0.3125,0.5,
6644684806,-0.1875,-0.6875,1.125,
6644707574,-0.8125,-1.4375,1.1875,
6644722562,-0.625,-1,1,
6644797386,-3.8125,-1.875,1.0625,
6644827397,1,-3,5.4375,
6644849730,2.875,-1.6875,4.375,
6644872283,3.125,-0.6875,2.6875,
6644902204,3.9375,-0.0625,1.75,
6644917224,3.4375,0.5,1.25,
6644932287,4.125,0.8125,0.5625,
6644947338,3.625,1.5,0.1875,
6644969699,3.5,1.4375,0.1875,
6644984727,2.9375,1.25,0.25,
6645007263,2,0.9375,-0.75,
6645029879,0.875,1.375,-0.875,
6645044953,-0.375,2,-2.3125,
6645067453,-2.375,2.25,-3.25,
6645089928,-1.8125,2.0625,-4.5,
6645104743,-1.125,0.5,-4.75,
6645127238,0,-0.3125,-3.5,
6645157240,0.0625,-1.5,-2.8125,
6645172449,-1.6875,-2.3125,-1.4375,
6645194928,-3.625,-3.5625,0.375,
6645224701,-4.0625,-4.5,1.25,
6645239841,-3.5625,-3.875,2.0625,
6645262374,-2.9375,-3.5625,2.0625,
6645277357,-1.5625,-4,1.75,
6645307214,-1.1875,-2.4375,1.8125,
6645330043,-1.9375,-2.625,1.75,
6645359878,-1.625,-2.6875,1.3125,
6645374816,-1.25,-2.25,0.625,
6645412150,-0.5,-1.5,-1.75,
6645427245,-2,-1.625,-2.8125,
6645457409,-4.8125,-1.9375,-3.4375,
6645479761,-4.6875,-1.5,-2.875,
6645494706,-4.125,-3.0625,-2,
6645517205,-3.8125,-5.0625,-1.6875,
6645539843,-6.5,-5.6875,-1.3125,
6645554885,-8.875,-6.1875,-1.3125,
6645569790,-10.125,-7.0625,-0.5625,
6645592224,-9.25,-7.125,-0.375,
6645607385,-7.625,-7.0625,0.0625,
6645629765,-6.25,-7.0625,0.375,
6645659966,-5.5625,-7.4375,1.25,
6645674756,-5.75,-7.1875,1.5625,
6645697417,-5.8125,-6.25,1.3125,
6645712441,-4.5625,-5.9375,0.875,
6645764690,-3,-5.25,0.9375,
6645787276,-2.375,-4.3125,1,
6645825002,-1.75,-2.9375,1.75,
6645869851,1.0625,-1.625,2.125,
6645899794,1.375,-0.875,2.4375,
6645952443,3.125,1.375,0.875,
6646004905,5.6875,1.8125,1.3125,
6646027392,5,1.5,1.125,
6646079763,2,-0.3125,1,
6646139831,-0.125,1.25,0.4375,
6646177434,-1,1.0625,-0.4375,
6646199758,-1.625,0.75,-0.6875,
6646229923,-3.5,0.0625,-0.75,
6646267346,-4.6875,-0.5625,-0.5625,
6646342402,-0.25,2.0625,1.25,
6646402223,0.875,-1,0.9375,
6646417178,0.4375,-1.75,0.6875,
6646432264,1.5,-1.5,0.625,
6646462441,-0.75,-3.125,0.9375,
6646477437,-4.875,-6,0.3125,
6646507382,-9.5,-7,-0.3125,
6646522396,-9.3125,-5.375,0.1875,
6646552237,-6.125,-2.0625,0.625,
6646574964,-3.25,-1.75,-0.6875,
6646627391,-1.0625,-1.25,-0.6875,
6646657214,0.25,-0.375,-0.3125,
6646694969,2.25,1.0625,-0.375,
6646717348,2.375,0.25,0.0625,
6646822344,-1.3125,-2.4375,-0.3125,
6646852214,2.125,-1.25,1.75,
6646874933,4.5625,-5.125,0.75,
6646919655,-0.25,-3.1875,-0.6875,
6646934687,1.5,-2.125,1.6875,
6646972173,-2,-1.875,-0.125,
6646994715,-1.125,-3.25,-1.125,
6647032430,-1.8125,-3.1875,-0.9375,
6647054866,-2.9375,-1.375,-0.5625,
