timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
21706348894,29,111,57,25,50,12,11,21,
21706348894,-5,-78,82,-20,3,31,33,-27,
21706363373,-16,-27,-97,57,58,-16,-62,-11,
21706363373,32,-24,76,14,5,80,25,28,
21706370983,19,59,-83,-38,-66,-39,16,-11,
21706370983,-30,-77,-68,14,-17,0,-39,-17,
21706380464,7,6,114,53,54,8,34,2,
21706380464,11,30,-91,-51,37,16,-1,-6,
21706387473,0,-35,125,58,26,-9,-3,3,
21706387473,69,127,-43,-26,-43,6,25,24,
21706401210,-11,-128,-95,-70,11,-16,3,14,
21706401210,-10,-20,86,50,6,-18,-27,-14,
21706408381,-22,-29,-99,-70,-42,1,-1,-11,
21706408381,-61,-128,-14,22,-12,-37,-23,13,
21706425408,22,78,106,-15,39,13,5,-6,
21706425408,41,108,-117,-9,30,-27,28,22,
21706430987,-11,-107,-28,6,-38,32,-12,-6,
21706430987,-38,69,102,3,28,-87,-35,-34,
21706447341,48,66,18,71,34,49,32,18,
21706447341,-37,37,-1,25,56,-9,4,27,
21706453577,-46,-113,-104,-65,-30,33,-24,-58,
21706453577,-77,-84,-128,-6,17,-50,-13,-1,
21706460832,47,43,21,-34,-28,37,-4,-11,
21706460832,36,-67,127,21,-88,-52,6,-16,
21706468543,-17,127,41,35,13,-21,21,44,
21706468543,78,-128,-50,-25,-29,15,-5,-12,
21706483490,-52,81,-93,-58,-52,-9,3,-6,
21706483490,-10,-34,29,-29,-70,25,-5,-7,
21706498417,-3,-52,-26,-15,-65,-46,-12,2,
21706498417,31,72,88,42,86,38,37,14,
21706513378,-1,25,14,46,55,29,5,-2,
21706513378,-33,-125,-94,-99,-62,-51,-20,-19,
21706521075,13,-96,114,3,20,20,-35,-30,
21706521075,14,127,92,95,21,48,47,31,
21706530319,26,-113,-91,-80,-90,14,3,13,
21706530319,-54,-61,-30,-71,0,-82,-38,-44,
21706536099,23,76,52,68,19,92,-14,18,
21706536099,36,-42,-102,-18,98,25,-12,-7,
21706552368,12,57,30,-4,-52,-50,4,7,
