timestamp,x,y,z,
23842492051,0.822754,0.416992,-0.161621,
23842521556,0.838379,0.384277,-0.126953,
23842530272,0.820801,0.35791,-0.157227,
23842549676,0.892578,0.424805,-0.175781,
23842581523,0.853027,0.490234,-0.163086,
23842588928,0.835449,0.462891,-0.180176,
23842617267,0.874512,0.410156,-0.138672,
23842632500,0.828613,0.385254,-0.164551,
23842672774,0.824219,0.413574,-0.164551,
23842677009,0.854492,0.422363,-0.13916,
23842729773,0.846191,0.420898,-0.152832,
23842760563,0.817871,0.413086,-0.144043,
23842789539,0.868652,0.402832,-0.130371,
23842804752,0.851562,0.405762,-0.155273,
23842834539,0.864746,0.41748,-0.114746,
23842864651,0.852051,0.39209,-0.150879,
23842909907,0.913086,0.452148,-0.186035,
23842932451,0.899414,0.41748,-0.155762,
23842969482,0.869629,0.446289,-0.175293,
23842992047,0.857422,0.40918,-0.182129,
23843036924,0.878418,0.373535,-0.148926,
23843044486,0.871582,0.374023,-0.127441,
23843216969,0.875488,0.407227,-0.152344,
23843239700,0.849121,0.427734,-0.180664,
23843277042,0.855469,0.400879,-0.147949,
23843299649,0.849121,0.401855,-0.161621,
23843344462,0.855469,0.417969,-0.171387,
23843374629,0.867188,0.404785,-0.162598,
23843434483,0.819824,0.434082,-0.17334,
23843479518,0.860352,0.430664,-0.115723,
23843517296,0.945801,0.503418,-0.138184,
23843547164,0.915527,0.544922,-0.175781,
23843599649,0.831055,0.432129,-0.125977,
23843622074,0.800293,0.40332,-0.139648,
23843667094,0.788086,0.331055,-0.137695,
23843689690,0.812988,0.388184,-0.180664,
23843727012,0.855957,0.522949,-0.125,
23843764526,0.887695,0.560059,-0.153809,
23843779727,0.880859,0.574707,-0.161621,
23843847214,0.826172,0.38623,-0.112305,
23843877053,0.786133,0.338379,-0.110352,
23843989709,0.927734,0.604492,-0.192383,
23844057165,0.803711,0.319824,-0.11377,
23844071959,0.743164,0.266113,-0.108398,
23844117084,0.75,0.227051,-0.0834961,
23844154492,0.788574,0.293945,-0.105469,
23844177004,0.831055,0.361816,-0.164551,
23844207023,0.9375,0.648926,-0.179688,
23844244500,0.945312,0.492676,-0.205078,
23844274700,0.758301,0.300781,-0.108887,
23844304491,0.739258,0.263672,-0.125,
23844319720,0.824707,0.506836,-0.168945,
23844334573,0.888184,0.513184,-0.184082,
23844364686,0.861328,0.447266,-0.163574,
23844387069,0.858887,0.439941,-0.186523,
23844409688,0.896973,0.436523,-0.156738,
23844439556,0.891113,0.442871,-0.132324,
23844476972,0.845215,0.458984,-0.143066,
23844499611,0.88916,0.424316,-0.12207,
23844522133,0.866211,0.398926,-0.133301,
23844536986,0.852051,0.367188,-0.142578,
23844567075,0.831055,0.394043,-0.123047,
23844589685,0.828125,0.375488,-0.13916,
23844619495,0.902832,0.42041,-0.116211,
23844627183,0.912598,0.414551,-0.139648,
23844657061,0.885742,0.45166,-0.145508,
23844679642,0.895508,0.46875,-0.120605,
23844701991,0.860352,0.43457,-0.153809,
23844717023,0.891113,0.404297,-0.120117,
23844739581,0.891602,0.44043,-0.118164,
23844762168,0.908691,0.434082,-0.13916,
23844769504,0.863281,0.44043,-0.132812,
23844792176,0.858398,0.394043,-0.0952148,
23844799528,0.850098,0.427246,-0.11377,
23844814475,0.83252,0.439453,-0.116699,
23844844588,0.844727,0.411621,-0.133789,
23844867039,0.847656,0.405273,-0.112793,
23844882165,0.834961,0.440918,-0.129883,
23844889736,0.855957,0.439453,-0.130859,
23844919490,0.86377,0.406738,-0.0952148,
23844934552,0.859375,0.430176,-0.0878906,
23844964679,0.824707,0.455566,-0.162598,
23844986973,0.763672,0.450684,-0.171387,
23845009639,0.772461,0.401855,-0.0893555,
23845024697,0.762207,0.377441,-0.157715,
23845054647,0.851074,0.42627,-0.15332,
23845069633,0.905273,0.445801,-0.101074,
23845092226,0.803711,0.497559,-0.168945,
23845114634,0.837891,0.469727,-0.225098,
23845167259,0.87793,0.405762,-0.154297,
23845182224,0.814453,0.430664,-0.18457,
23845212153,0.931641,0.445312,-0.153809,
23845227162,0.824219,0.463867,-0.19043,
23845272167,0.853027,0.44873,-0.210938,
23845309523,0.806152,0.399414,-0.259766,
23845324685,0.927734,0.456543,-0.184082,
23845347102,0.842773,0.453613,-0.179199,
23845369556,0.809082,0.460938,-0.180176,
23845392071,0.869141,0.434082,-0.18457,
23845414642,0.845703,0.40918,-0.21875,
23845429464,0.837891,0.437012,-0.195801,
23845459595,0.851562,0.416016,-0.186523,
23845474499,0.89209,0.367676,-0.20752,
