timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
21140330644,9,-45,-111,-64,-14,93,44,19,
21140330644,-30,-98,-98,-112,0,48,-4,-13,
21140341295,0,-99,78,91,-38,28,57,11,
21140341295,-30,80,-64,-36,-1,14,-12,-25,
21140345562,-24,-56,7,13,-78,-96,-23,-37,
21140345562,44,102,90,107,110,49,-5,15,
21140353043,39,39,-128,31,-1,30,34,15,
21140353043,2,-40,105,-26,-22,-8,-8,11,
21140368262,23,3,-109,-65,-16,38,-1,14,
21140368262,-37,-128,-109,-128,-114,-80,-9,-12,
21140375715,-33,-68,-43,45,16,-59,-59,-27,
21140375715,-6,11,77,63,21,0,21,8,
21140390652,18,117,87,92,7,14,-11,-8,
21140390652,23,107,40,-36,9,28,-8,12,
21140398090,-36,-62,-73,-69,-52,-26,-10,-21,
21140398090,45,-15,52,69,56,-6,49,23,
21140415093,14,59,-22,7,117,70,-32,-21,
21140415093,-31,-66,-29,120,-69,-82,35,-9,
21140420575,-46,-45,5,-128,-49,-13,-31,15,
21140420575,32,48,7,56,99,87,-8,23,
21140437654,15,79,107,81,-46,-60,26,6,
21140437654,17,-29,-4,1,11,17,-29,-16,
21140443226,25,35,63,-8,-37,-31,-49,-1,
21140443226,-32,-101,-128,-119,55,-26,-5,15,
21140459561,-44,-108,37,-94,35,5,25,-41,
21140459561,11,127,84,33,-90,-9,-14,8,
21140473146,40,-128,-128,21,16,-1,14,16,
21140473146,-30,-64,-2,-44,-79,-17,67,-4,
21140482512,11,127,55,109,118,49,-62,4,
21140482512,7,-56,75,-23,-80,-26,-23,-25,
21140495467,-13,22,-93,-25,48,85,46,-6,
21140495467,-4,127,75,44,-67,-25,-4,6,
21140503271,16,-78,9,-15,18,-13,12,12,
21140503271,20,48,-70,-3,63,-26,11,-10,
21140520187,-5,127,54,58,43,67,35,1,
21140520187,-26,2,-11,42,-17,8,9,-26,
21140535084,-33,-109,-113,-97,-45,-48,-52,-9,
21140535084,-18,-97,96,127,127,41,54,-1,
21140540500,9,59,-94,-125,-76,-49,4,12,
21140540500,-10,-115,46,101,-46,-3,-16,-5,
21140555545,99,127,-47,18,19,4,89,54,
21140555545,-23,-128,-30,-114,-15,1,-31,-23,
21140564450,29,-89,-93,23,-79,-2,-2,12,
21140564450,-62,-128,-125,-126,-14,-4,-20,-28,
21140578206,-4,-98,-64,-77,-13,23,2,-8,
