timestamp,x,y,z,
21908356137,0.88916,0.335449,-0.21582,
21908380221,0.89209,0.337402,-0.205566,
21908396697,0.890137,0.358398,-0.21582,
21908418833,0.897949,0.353516,-0.22168,
21908464415,0.905762,0.342773,-0.217285,
21908468394,0.899414,0.363281,-0.226562,
21908484932,0.889648,0.350586,-0.219238,
21908501479,0.891602,0.35498,-0.213379,
21908515197,0.902832,0.353027,-0.218262,
21908560847,0.898926,0.354004,-0.21875,
21908573389,0.893555,0.35498,-0.220703,
21908580772,0.891113,0.362305,-0.216797,
21908643006,0.891602,0.347656,-0.221191,
21908670841,0.899902,0.344727,-0.214355,
21908738446,0.885742,0.359863,-0.223145,
21908783331,0.893066,0.348633,-0.22168,
21908822512,0.895508,0.359863,-0.222656,
21908843517,0.892578,0.354004,-0.225586,
21908910736,0.885742,0.359863,-0.214844,
21908970942,0.891602,0.36084,-0.216309,
21909000985,0.885254,0.367676,-0.21875,
21909023279,0.885254,0.370605,-0.21582,
21909054784,0.889648,0.364746,-0.216309,
21909060795,0.889648,0.366699,-0.217285,
21909098268,0.882324,0.369629,-0.218262,
21909120925,0.88916,0.359375,-0.213379,
21909135736,0.890137,0.351562,-0.208496,
21909150950,0.879883,0.368164,-0.212891,
21909180726,0.882812,0.368164,-0.215332,
21909210821,0.879883,0.370117,-0.220703,
21909255776,0.88623,0.368164,-0.219727,
21909278248,0.885742,0.368164,-0.21582,
21909300950,0.884277,0.368164,-0.214844,
21909338297,0.890625,0.362305,-0.211914,
21909360719,0.890137,0.367676,-0.21582,
21909390916,0.882324,0.366699,-0.218262,
21909405765,0.875488,0.364258,-0.20752,
21909420972,0.887207,0.36377,-0.211914,
21909435704,0.893555,0.369629,-0.225098,
21909450746,0.893555,0.37207,-0.227051,
21909488291,0.900391,0.379883,-0.210938,
21909510882,0.884766,0.384277,-0.21875,
21909533248,0.882812,0.373535,-0.218262,
21909563254,0.885254,0.381348,-0.214355,
21909578291,0.888184,0.371094,-0.213867,
21909615832,0.890137,0.370117,-0.225586,
21909668504,0.881836,0.370605,-0.226074,
21909683441,0.87793,0.377441,-0.220703,
21909720793,0.87793,0.373047,-0.241211,
21909743341,0.875977,0.369629,-0.230957,
21909780970,0.878418,0.367188,-0.231445,
21909795790,0.879883,0.365723,-0.234863,
21909818511,0.877441,0.36377,-0.22168,
21909840721,0.890625,0.370117,-0.213867,
21909878247,0.894043,0.375,-0.213867,
21909893230,0.89209,0.375488,-0.220703,
21909915758,0.88623,0.379883,-0.229004,
21909953169,0.897949,0.370117,-0.211914,
21909975748,0.895996,0.370605,-0.215332,
21909990760,0.894531,0.378906,-0.202637,
21910020742,0.889648,0.381836,-0.209473,
21910043187,0.885742,0.373047,-0.223145,
21910088241,0.89209,0.373047,-0.213867,
21910110730,0.880371,0.377441,-0.217285,
21910140758,0.879395,0.368652,-0.222168,
21910163248,0.880371,0.37793,-0.224121,
21910230732,0.875977,0.384277,-0.222656,
21910335822,0.875,0.376953,-0.230469,
21910365962,0.87207,0.380371,-0.233887,
21910388373,0.874512,0.386719,-0.241699,
21910410753,0.869141,0.390625,-0.23584,
21910440803,0.859375,0.392578,-0.23291,
21910471043,0.861816,0.394043,-0.223633,
21910485801,0.866699,0.393066,-0.233887,
21910568294,0.85791,0.399902,-0.232422,
21910613236,0.865723,0.396973,-0.235352,
21910718210,0.872559,0.398438,-0.240723,
21910733473,0.868652,0.399414,-0.224609,
21910756010,0.864746,0.410645,-0.23291,
21910771005,0.866211,0.401855,-0.234375,
21910808288,0.866211,0.391602,-0.224609,
21910838268,0.868164,0.410156,-0.238281,
21910860841,0.868164,0.402344,-0.234375,
21910905751,0.870117,0.399414,-0.23584,
21910935830,0.871094,0.416016,-0.230957,
21910973299,0.86084,0.395996,-0.236816,
21910988310,0.869629,0.407227,-0.227051,
21911048255,0.876953,0.400879,-0.233398,
21911100973,0.870117,0.402832,-0.223145,
21911115747,0.874023,0.407227,-0.23877,
21911138410,0.876465,0.396973,-0.232422,
21911168232,0.870605,0.40625,-0.230957,
21911235875,0.878906,0.399414,-0.23291,
21911273334,0.865234,0.407715,-0.222656,
