timestamp,x,y,z,
21908356137,-1.1875,-1.3125,0.0625,
21908380221,-0.6875,-0.4375,0.25,
21908396697,1.75,-0.5,0.4375,
21908418833,-0.375,-0.125,0.0625,
21908464415,-0.5,0.5625,-0.5625,
21908468394,1.75,0.6875,-0.25,
21908484932,0.5625,0.3125,-0.625,
21908501479,0.75,0.3125,-0.5,
21908515197,0.25,0.25,-0.625,
21908560847,-0.125,0.9375,-1.3125,
21908573389,0.75,0.6875,-2.25,
21908580772,0.75,0.25,-2.25,
21908643006,0.5625,0.625,-2.25,
21908670841,-0.4375,0.0625,-2.5625,
21908738446,0.375,0,-1.5625,
21908783331,-1.1875,0.6875,-2.5,
21908822512,-0.125,1.125,-2.1875,
21908843517,-0.75,1,-2.375,
21908910736,0.0625,1.4375,-2.1875,
21908970942,-0.9375,0.3125,-1.5625,
21909000985,-0.0625,0.1875,-1.3125,
21909023279,-0.0625,0.1875,-1.875,
21909054784,-0.4375,-1,-1.8125,
21909060795,0.3125,-1.5625,-1.6875,
21909098268,-0.3125,-1.875,-1.5,
21909120925,-1.25,-2,-1,
21909135736,-1,-1.375,-0.625,
21909150950,0.125,-0.75,-0.875,
21909180726,0.625,-0.75,-0.6875,
21909210821,-0.125,-0.4375,-1,
21909255776,0.5,0.75,-1.3125,
21909278248,0,-0.25,-0.875,
21909300950,-0.1875,-0.5,-0.9375,
21909338297,0.4375,-0.375,-1.1875,
21909360719,1.3125,0.125,-1.5,
21909390916,0.75,0.5625,-1.3125,
21909405765,1.0625,-0.375,-0.875,
21909420972,1.6875,-1.1875,-0.125,
21909435704,1.5,-0.8125,0,
21909450746,2.1875,-0.8125,-0.25,
21909488291,2.1875,-1,-0.9375,
21909510882,2.0625,-1.625,-0.5625,
21909533248,1.3125,-2.5,-0.4375,
21909563254,2.125,-1.5625,-1.625,
21909578291,1.25,-0.625,-1.8125,
21909615832,1.0625,0.4375,-1.6875,
21909668504,1.6875,1.3125,-1.5,
21909683441,0.625,1.0625,-2.125,
21909720793,0.6875,2.75,-2.25,
21909743341,-0.0625,2.5625,-2.1875,
21909780970,-1.5625,3.1875,-1.8125,
21909795790,-1.625,4.1875,-1,
21909818511,-1.5625,3.5,-0.125,
21909840721,-1.1875,1.75,0.0625,
21909878247,-0.875,1.0625,-0.25,
21909893230,-1,0.3125,-0.8125,
21909915758,-0.25,-0.25,-1.5625,
21909953169,-0.4375,-2.5625,-2.9375,
21909975748,0.625,-2.75,-3.375,
21909990760,1.375,-3.3125,-3,
21910020742,1.5625,-3.75,-3.0625,
21910043187,1.375,-4.25,-3.625,
21910088241,0.8125,-3.8125,-3.6875,
21910110730,1.1875,-4,-3.875,
21910140758,1.375,-3.0625,-3.6875,
21910163248,1.9375,-2.3125,-3.625,
21910230732,0.8125,-1.75,-3.0625,
21910335822,2.875,1.1875,-3.5,
21910365962,3.1875,1.5625,-4.0625,
21910388373,1,0.3125,-3.375,
21910410753,3.3125,1.25,-3.25,
21910440803,3.5,1.6875,-3.25,
21910471043,1.1875,0.6875,-3,
21910485801,0.875,0.875,-2.625,
21910568294,1.3125,1.375,-1.8125,
21910613236,0.125,1.1875,-1.3125,
21910718210,-1,-0.75,-1.25,
21910733473,0.1875,-0.75,-1.1875,
21910756010,0.6875,-0.5625,-1.25,
21910771005,-2.25,-0.5625,-1.125,
21910808288,-1.5,-0.75,-1.125,
21910838268,0.25,-0.9375,-0.5625,
21910860841,-1.0625,-1.1875,-0.6875,
21910905751,-0.875,-1.375,0,
21910935830,-1.5,-1.375,1.25,
21910973299,-1.6875,-0.8125,0.75,
21910988310,-0.375,-0.5,0.4375,
21911048255,-0.3125,-0.4375,-0.25,
21911100973,-0.9375,-0.6875,-0.6875,
21911115747,-0.875,-1.1875,-0.6875,
21911138410,-1.25,-1.4375,-0.4375,
21911168232,-1.4375,-2.1875,-0.125,
21911235875,-2.9375,-0.75,-1.0625,
21911273334,-3.5,-0.25,-0.5625,
