timestamp,C1,C2,C3,C4,C5,C6,C7,C8,
21908561536,-6,-5,-15,-14,-4,-14,4,11,
21908561536,1,4,8,-4,-17,0,-6,-3,
21908568286,5,7,-3,-1,10,12,-4,-6,
21908568286,-11,4,9,7,2,0,-3,-9,
21908575702,2,-19,-22,-3,1,11,9,10,
21908575702,-8,0,19,-5,-3,-10,-8,-21,
21908583240,6,-1,-21,4,2,1,1,20,
21908583240,12,12,13,5,0,1,-3,-15,
21908598252,-4,4,-4,-4,-5,-15,-13,-21,
21908598252,-1,-19,-27,-13,2,19,11,11,
21908614656,10,7,20,7,-12,-17,1,-6,
21908614656,-9,-7,-29,-8,2,18,-1,1,
21908628224,-5,1,-4,-11,-1,4,1,0,
21908628224,6,-3,-17,-5,-5,-4,4,15,
21908643629,12,7,9,-1,1,7,-2,-3,
21908643629,-5,-11,-22,-13,-11,-3,3,4,
21908650967,-13,-3,-27,1,-4,-8,0,2,
21908650967,1,-13,16,-1,13,-3,4,9,
21908666055,-11,20,24,18,10,11,-18,-42,
21908666055,7,12,11,12,7,-4,6,10,
21908673437,27,-12,-17,-23,-11,-6,12,27,
21908673437,-11,-4,10,15,-1,16,-9,-9,
21908695746,0,-7,-11,-8,-1,-16,3,12,
21908695746,-1,16,-2,2,10,8,5,3,
21908703208,-6,-5,9,-4,-14,-12,-16,-24,
21908703208,6,4,-15,-11,-6,1,8,21,
21908719807,-1,-5,-8,1,4,19,9,8,
21908719807,-4,-13,-17,-9,-4,7,1,-9,
21908734688,-7,-10,7,11,7,-2,-6,-4,
21908734688,8,8,2,-6,-7,-24,-4,-4,
21908748469,-1,6,-3,-5,-2,18,3,12,
21908748469,-3,-16,-9,-8,3,13,0,4,
21908755791,-8,6,28,9,-3,-11,-11,-22,
21908755791,3,4,-19,2,-1,-10,1,-3,
21908773053,-7,5,1,-8,-3,10,-5,-13,
21908773053,9,-9,1,2,-3,-9,1,9,
21908778224,1,9,-14,-10,-8,1,0,-6,
21908778224,-20,-33,-2,-11,-3,-10,-2,3,
21908800946,-2,1,21,10,12,39,9,2,
21908800946,21,7,-9,-5,3,-32,-8,7,
21908815783,-2,-24,-36,-14,-27,-2,10,13,
21908815783,-19,3,12,-7,12,23,-18,-38,
21908824555,-1,3,4,7,-18,-45,6,8,
21908824555,-6,-5,-8,0,0,-7,-1,-5,
21908855239,-9,12,-6,2,4,12,-8,-14,
21908855239,-22,-5,2,-1,-7,-9,-7,-14,
21908860829,-1,5,18,10,7,-15,1,-2,
21908860829,0,2,-4,-1,3,36,6,4,
21908868268,4,-4,-10,-13,-1,-16,-3,13,
21908868268,-4,-5,6,8,10,6,-2,-6,
21908883489,-17,-17,0,15,-11,7,-13,-26,
21908883489,-5,2,-15,-12,3,-15,-1,-4,
21908898385,15,2,14,11,3,22,8,5,
21908898385,6,-4,14,10,2,0,-4,-1,
21908905727,0,12,-18,-13,-1,2,2,9,
21908905727,-4,-14,-23,-9,-6,-15,-6,-1,
21908921316,-1,2,30,1,11,31,0,9,
21908921316,13,18,5,-3,-21,-38,-2,-5,
21908928415,-6,-2,-8,1,12,0,-3,-4,
21908928415,-5,-11,-7,-8,-5,12,9,7,
21908943321,-11,-20,-23,-11,-7,-23,-10,10,
21908943321,-16,5,-6,23,20,8,-8,-31,
21908950749,-4,-1,13,-6,-14,-4,-11,-4,
21908950749,2,23,15,4,-3,-10,-3,-4,
21908973456,1,-17,-13,-2,1,6,4,5,
21908973456,0,-21,-13,13,-2,-6,11,11,
21908980826,3,12,13,-3,1,8,-2,-4,
21908980826,-1,12,26,12,4,-2,-6,-12,
21908997159,24,2,-21,-11,-10,-6,1,0,
21908997159,27,-4,-8,-9,1,8,8,27,
21909003255,-58,-10,-5,-9,-3,-12,-21,-52,
21909003255,-4,-1,20,14,6,-2,-2,-6,
21909018200,21,8,51,27,11,-1,9,26,
21909018200,3,9,-9,-2,-4,8,-4,0,
21909033202,-11,-1,2,3,-6,-13,0,-17,
21909033202,-3,-2,11,7,5,33,-2,-2,
21909040716,19,2,-24,-9,-7,-1,7,10,
21909040716,-19,-18,-5,-13,-2,-18,-14,-10,
21909055939,21,8,-21,-5,-2,7,5,5,
21909055939,15,-8,10,-1,-4,0,2,-1,
21909070692,-6,-2,-13,-5,2,13,15,26,
21909070692,-35,-5,9,-8,-9,-13,-18,-17,
21909078159,16,5,-5,5,15,7,8,11,
21909078159,-41,-12,-17,0,8,4,0,-5,
21909093263,-7,13,29,4,-18,-27,-11,-25,
21909093263,23,7,-5,8,11,14,1,-1,
21909108219,13,-1,-3,-10,-22,-3,1,6,
21909108219,-6,2,13,9,5,-6,2,7,
21909123173,-18,1,-3,-5,5,19,-3,-17,
21909123173,-6,0,1,-2,-2,-44,3,1,
21909130714,15,-10,-21,-15,-7,2,2,11,
21909130714,12,-6,-9,-15,-12,10,3,-4,
21909145728,-4,-23,-3,2,11,-16,4,18,
21909145728,-8,23,13,6,-8,-20,-14,-33,
21909160714,-9,1,-11,0,10,7,5,9,
21909160714,3,-9,5,4,-8,-16,-3,3,
21909168181,5,1,-18,-12,-4,1,7,10,
21909168181,10,-1,-1,5,4,-3,3,11,
21909183253,-27,1,7,-3,-6,-1,-11,-32,
21909183253,16,4,-3,-6,-1,4,0,11,
21909198203,-3,-9,-21,-4,-5,-6,2,4,
21909198203,-4,-19,-13,-18,-5,-6,-3,2,
21909205781,16,14,29,24,18,2,0,4,
21909205781,-4,2,11,7,-14,1,0,5,
21909220726,-1,8,-1,4,23,3,0,-11,
21909220726,-11,-17,-2,-3,1,8,-4,-4,
21909228156,-1,-2,0,5,-4,1,-3,-5,
21909228156,15,6,-15,1,7,13,1,-6,
21909243242,-1,-7,-20,-11,-5,-16,-1,-4,
21909243242,12,-12,5,1,9,20,8,15,
21909258423,-13,-3,-5,-5,-8,5,-2,-5,
21909258423,19,-13,-7,1,2,-7,-4,-1,
21909273351,-18,-1,-17,-17,-6,13,8,8,
21909273351,-13,-4,18,22,20,-3,-2,3,
21909288216,21,-2,-3,-5,-4,-2,5,6,
21909288216,-10,4,7,-1,-6,0,-3,-12,
21909295742,18,5,4,1,-9,-7,-3,-2,
21909295742,-12,-5,-21,-20,-4,41,-1,-13,
21909310685,8,-11,-8,-8,0,-56,-1,13,
21909310685,-31,5,19,20,4,-10,-21,-36,
21909318358,3,3,-8,-13,-4,13,1,0,
21909318358,4,-12,-20,-5,-11,-13,0,3,
21909325926,-8,-6,-11,7,3,-6,-3,-6,
21909325926,6,5,13,11,9,-8,-9,-11,
21909340858,1,8,-8,-1,3,18,5,9,
21909340858,0,-21,-54,-29,-10,-5,9,13,
21909348289,-12,-6,39,16,5,8,-3,-9,
21909348289,3,22,12,15,8,-15,0,-1,
21909363180,7,-2,-23,-12,-4,19,-1,-2,
21909363180,3,5,16,4,3,-7,-1,9,
21909370735,-8,-12,-4,-4,-5,-10,-4,-10,
21909370735,-5,5,-11,-17,-13,-17,-6,-11,
21909385854,4,2,9,-1,-15,7,6,24,
21909385854,-9,-15,2,14,3,25,2,-11,
21909393258,6,8,-8,-7,-4,-15,-3,8,
21909393258,-12,2,11,-4,-2,3,7,0,
21909408197,-9,-5,-8,7,3,-3,-3,-3,
21909408197,14,7,24,-7,-4,2,-2,-6,
21909423300,-6,9,22,9,-3,-6,-3,-7,
21909423300,-11,-3,-15,-6,-4,-4,3,3,
21909430663,-4,7,33,4,-2,3,0,3,
21909430663,49,-8,-25,-9,6,4,2,10,
21909453161,-24,-2,-6,-14,-27,-1,-6,-16,
21909453161,-32,5,8,18,17,17,-1,6,
21909460733,-20,-15,-21,-24,-15,-41,-9,-13,
21909460733,7,-1,-7,7,-6,4,-10,-19,
21909475888,20,-10,4,17,5,-3,8,15,
21909475888,11,9,-4,-8,-7,-9,0,12,
21909483258,21,9,-2,-2,0,22,-2,-8,
21909483258,-17,0,-2,-33,-11,-22,-12,-20,
21909498183,12,-4,-24,-6,-1,6,7,17,
21909498183,15,-3,19,-1,-15,-6,4,20,
21909513341,-17,-11,-29,-4,-14,3,3,5,
21909513341,10,7,22,16,19,18,19,28,
21909520644,22,4,-14,-4,0,2,-9,0,
